"ParticipantId","Event.Nr","CDA.nSCR","CDA.Latency","CDA.AmpSum","CDA.SCR","CDA.ISCR","CDA.PhasicMax","CDA.Tonic","TTP.nSCR","TTP.Latency","TTP.AmpSum","Global.Mean","Global.MaxDeflection","Event.Name","EmoId","ExpId","VideoId","Participant","Sex","Age","Language","RepId","Tonic","transfCDA.SCR","hand","Repeated"
"001m24ee",1,1,2.688,0.1513,0.0194,0.9299,0.6068,2.3268,1,"1.75",0.1493,2.3854,0.1297,1,"Anger","Face",1344,1,"m",24,"ee",1,2.3268,0.6741866879788629,"L",FALSE
"001m24ee",2,2,1.875,0.1333,0.0157,0.7525,0.4505,2.3396,1,"1.375",0.113,2.3905,0.0954,2,"Happy","Face",1344,1,"m",24,"ee",1,2.3396,0.6600699553243822,"L",FALSE
"001m24ee",3,1,2.687,0.1426,0.0177,0.8504,0.6879,2.3277,1,"2.062",0.1265,2.3864,0.1127,3,"Sad","Face",1344,1,"m",24,"ee",1,2.3277,0.6680320924963907,"L",FALSE
"001m24ee",5,1,2.938,0.1354,0.0149,0.7132,0.8243,2.2849,1,"2.688",0.1266,2.3079,0.0924,5,"Disgust","Face",1344,1,"m",24,"ee",1,2.2849,0.6566268340250919,"L",FALSE
"001m24ee",6,1,1.5,0.0686,0.0086,0.4151,0.3537,2.2541,1,"1.062",0.0346,2.3439,0.0351,6,"Fear","Face",1344,1,"m",24,"ee",1,2.2541,0.6215124677003865,"L",FALSE
"001m24ee",7,1,3.438,0.062,0.007,0.3372,0.3477,2.2566,1,"2.938",0.0507,2.3042,0.0291,7,"Surprise","Face",1344,1,"m",24,"ee",1,2.2566,0.6088492901034993,"L",FALSE
"001m24ee",8,0,NA,0,0.0049,0.2372,0.4186,2.26,1,"3.312",0.0932,2.2846,0.0105,5,"Disgust","Face",1344,1,"m",24,"ee",2,2.26,0.5875158777411962,"L",FALSE
"001m24ee",9,1,2.625,0.0195,0.0055,0.262,0.1509,2.1809,0,NA,0,2.2627,1e-4,6,"Fear","Face",1344,1,"m",24,"ee",2,2.1809,0.5943417914181861,"L",FALSE
"001m24ee",10,1,3.625,0.071,0.0099,0.4751,0.5052,2.152,1,"3.25",0.042,2.2977,0.0229,2,"Happy","Face",1344,1,"m",24,"ee",2,2.152,0.6303235297139818,"L",FALSE
"001m24ee",11,2,1,0.0808,0.0092,0.4408,0.4199,2.2036,1,"2.687",0.1325,2.2225,0.0454,7,"Surprise","Face",1344,1,"m",24,"ee",2,2.2036,0.6257181934212293,"L",FALSE
